X,Y,Max_Depth_m,Time_of_Arrival,Duration_timesteps,Hazard_Class,Hazard_Index
407554.40595106815,4361005.277999514,5.1962585,1,72,4,2.5981293
407579.40595106815,4361005.277999514,4.613701,1,72,4,2.3068504
407604.40595106815,4361005.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407629.40595106815,4361005.277999514,0.0,-1,0,0,0.0
407654.40595106815,4361005.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407679.40595106815,4361005.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407404.40595106815,4360980.277999514,0.0,-1,0,0,0.0
407429.40595106815,4360980.277999514,0.0,-1,0,0,0.0
407454.40595106815,4360980.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407479.40595106815,4360980.277999514,0.0,-1,0,0,0.0
407504.40595106815,4360980.277999514,2.4513435,14,59,2,1.2256718
407529.40595106815,4360980.277999514,5.1540184,1,72,4,2.5770092
407554.40595106815,4360980.277999514,3.9191055,1,72,3,1.9595528
407579.40595106815,4360980.277999514,0.3955574,23,10,0,0.1977787
407604.40595106815,4360980.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407629.40595106815,4360980.277999514,0.0,-1,0,0,0.0
407654.40595106815,4360980.277999514,0.0,-1,0,0,0.0
407679.40595106815,4360980.277999514,0.0,-1,0,0,0.0
407404.40595106815,4360955.277999514,0.0,-1,0,0,0.0
407429.40595106815,4360955.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407454.40595106815,4360955.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407479.40595106815,4360955.277999514,0.0,-1,0,0,0.0
407504.40595106815,4360955.277999514,4.1615257,2,71,4,2.0807629
407529.40595106815,4360955.277999514,4.538948,1,72,4,2.269474
407554.40595106815,4360955.277999514,0.63409424,23,50,1,0.31704712
407579.40595106815,4360955.277999514,0.30916977,24,13,0,0.15458488
407604.40595106815,4360955.277999514,0.0,-1,0,0,0.0
407629.40595106815,4360955.277999514,0.0,-1,0,0,0.0
407654.40595106815,4360955.277999514,0.0,-1,0,0,0.0
407679.40595106815,4360955.277999514,0.0,-1,0,0,0.0
407379.40595106815,4360930.277999514,0.0,-1,0,0,0.0
407404.40595106815,4360930.277999514,0.0,-1,0,0,0.0
407429.40595106815,4360930.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407454.40595106815,4360930.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407479.40595106815,4360930.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407504.40595106815,4360930.277999514,3.9050407,2,71,3,1.9525204
407529.40595106815,4360930.277999514,4.376808,2,71,4,2.188404
407554.40595106815,4360930.277999514,0.6209526,24,18,1,0.3104763
407579.40595106815,4360930.277999514,0.41033554,24,49,0,0.20516777
407604.40595106815,4360930.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407629.40595106815,4360930.277999514,0.0,-1,0,0,0.0
407654.40595106815,4360930.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407679.40595106815,4360930.277999514,0.0,-1,0,0,0.0
407379.40595106815,4360905.277999514,0.0,-1,0,0,0.0
407404.40595106815,4360905.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407429.40595106815,4360905.277999514,0.0,-1,0,0,0.0
407454.40595106815,4360905.277999514,0.0,-1,0,0,0.0
407479.40595106815,4360905.277999514,0.81372833,20,53,1,0.40686417
407504.40595106815,4360905.277999514,3.4947472,2,71,3,1.7473736
407529.40595106815,4360905.277999514,4.5117264,2,71,4,2.2558632
407554.40595106815,4360905.277999514,0.5685158,24,39,0,0.2842579
407579.40595106815,4360905.277999514,0.3447914,24,49,0,0.1723957
407604.40595106815,4360905.277999514,0.0,-1,0,0,0.0
407629.40595106815,4360905.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407654.40595106815,4360905.277999514,0.0,-1,0,0,0.0
407379.40595106815,4360880.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407404.40595106815,4360880.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407429.40595106815,4360880.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407454.40595106815,4360880.277999514,0.0,-1,0,0,0.0
407479.40595106815,4360880.277999514,0.9583168,19,16,1,0.4791584
407504.40595106815,4360880.277999514,3.4497337,2,71,3,1.7248669
407529.40595106815,4360880.277999514,4.4386177,2,71,4,2.2193089
407554.40595106815,4360880.277999514,0.3456421,24,39,0,0.17282104
407579.40595106815,4360880.277999514,0.22387695,24,34,0,0.11193848
407604.40595106815,4360880.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407629.40595106815,4360880.277999514,0.0,-1,0,0,0.0
407654.40595106815,4360880.277999514,0.0,-1,0,0,0.0
407354.40595106815,4360855.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407379.40595106815,4360855.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407404.40595106815,4360855.277999514,0.0,-1,0,0,0.0
407429.40595106815,4360855.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407454.40595106815,4360855.277999514,0.6988144,21,10,1,0.3494072
407479.40595106815,4360855.277999514,1.2179794,18,21,1,0.6089897
407504.40595106815,4360855.277999514,3.3855782,2,71,3,1.6927891
407529.40595106815,4360855.277999514,4.2509804,2,71,4,2.1254902
407554.40595106815,4360855.277999514,0.39528275,24,49,0,0.19764137
407579.40595106815,4360855.277999514,0.16295624,25,29,0,0.08147812
